Extract Date,Business Key,POS Code,Menu Item Name,Category,Subcategory,Price,Description,Is Active,Is Vegetarian,Is Vegan,Is Gluten Free
2025-01-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-02-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-03-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-04-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-05-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-06-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,True,False,False,False
2025-07-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-08-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-09-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-10-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-11-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-12-01,APP-001,1001,Crispy Calamari,Food,Appetizer,13.5,Fried calamari with marinara and lemon aioli,False,False,False,False
2025-01-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-02-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-03-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-04-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-05-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-06-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-07-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-08-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-09-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-10-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-11-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-12-01,APP-002,1002,Loaded Nachos,Food,Appetizer,12.0,"Tortilla chips with cheese, jalapeños, and pico de gallo",True,True,False,False
2025-01-01,APP-003,1003,Buffalo Wings,Food,Appetizer,12.73,Crispy chicken wings tossed in buffalo sauce,True,False,False,False
2025-02-01,APP-003,1003,Buffalo Wings,Food,Appetizer,12.73,Crispy chicken wings tossed in buffalo sauce,True,False,False,False
2025-03-01,APP-003,1003,Buffalo Wings,Food,Appetizer,12.73,Crispy chicken wings tossed in buffalo sauce,True,False,False,False
2025-04-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,True,False,False,False
2025-05-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-06-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-07-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-08-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-09-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-10-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-11-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-12-01,APP-003,1003,Buffalo Wings,Food,Appetizer,14.0,Crispy chicken wings tossed in buffalo sauce,False,False,False,False
2025-01-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-02-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-03-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-04-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-05-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-06-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-07-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-08-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-09-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-10-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-11-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-12-01,APP-004,1004,Spinach Artichoke Dip,Food,Appetizer,11.5,Warm dip served with tortilla chips,True,True,True,False
2025-01-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,9.22,Breaded mozzarella with marinara sauce,True,True,False,False
2025-02-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,9.22,Breaded mozzarella with marinara sauce,True,True,False,False
2025-03-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,9.22,Breaded mozzarella with marinara sauce,True,True,False,False
2025-04-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,9.22,Breaded mozzarella with marinara sauce,True,True,False,False
2025-05-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,9.22,Breaded mozzarella with marinara sauce,True,True,False,False
2025-06-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,10.0,Breaded mozzarella with marinara sauce,True,True,False,False
2025-07-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,10.0,Breaded mozzarella with marinara sauce,True,True,False,False
2025-08-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,10.0,Breaded mozzarella with marinara sauce,True,True,False,False
2025-09-01,APP-005,1005,Mozzarella Sticks,Food,Appetizer,10.0,Breaded mozzarella with marinara sauce,True,True,False,False
