Valuation ID,Item,Item Primary Key,Category,Subcategory,Unit,Item Amount,Item Unit Value,Inventory Value
INV-2025-01,Coca-Cola Syrup BIB,NAB-001,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,22,65.02,1430.44
INV-2025-01,Diet Coke Syrup BIB,NAB-002,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,13,62.17,808.21
INV-2025-01,Sprite Syrup BIB,NAB-003,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,39,64.0,2496.0
INV-2025-01,Ginger Ale Syrup BIB,NAB-004,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,32,61.8,1977.6
INV-2025-01,Still Water 16.9oz,NAB-005,Non-Alcoholic Beverage,Bottled Water,case of 24,10,6.56,65.6
INV-2025-01,Sparkling Water 12oz,NAB-006,Non-Alcoholic Beverage,Bottled Water,case of 24,37,17.65,653.05
INV-2025-01,Orange Juice Concentrate,NAB-007,Non-Alcoholic Beverage,Juice,gallon,40,11.16,446.4
INV-2025-01,Cranberry Juice Cocktail,NAB-008,Non-Alcoholic Beverage,Juice,gallon,39,8.99,350.61
INV-2025-01,Pineapple Juice,NAB-009,Non-Alcoholic Beverage,Juice,46 oz can,33,4.46,147.18
INV-2025-01,Lemon Juice (bottled),NAB-010,Non-Alcoholic Beverage,Juice,32 oz bottle,5,4.84,24.2
INV-2025-01,Lime Juice (bottled),NAB-011,Non-Alcoholic Beverage,Juice,32 oz bottle,15,4.42,66.3
INV-2025-01,"Espresso Beans, Dark Roast",NAB-012,Non-Alcoholic Beverage,Coffee,5 lb bag,26,41.33,1074.58
INV-2025-01,"Drip Coffee, Medium Roast",NAB-013,Non-Alcoholic Beverage,Coffee,2 lb bag,18,17.99,323.82
INV-2025-01,"Decaf Coffee, Medium Roast",NAB-014,Non-Alcoholic Beverage,Coffee,2 lb bag,26,17.14,445.64
INV-2025-01,Black Tea Bags,NAB-015,Non-Alcoholic Beverage,Tea,box of 100,29,14.32,415.28
INV-2025-01,Green Tea Bags,NAB-016,Non-Alcoholic Beverage,Tea,box of 100,27,15.48,417.96
INV-2025-01,Herbal Chamomile Tea Bags,NAB-017,Non-Alcoholic Beverage,Tea,box of 100,7,17.25,120.75
INV-2025-01,Red Bull 8.4oz,NAB-018,Non-Alcoholic Beverage,Energy/Sports,case of 24,39,34.71,1353.69
INV-2025-01,Gatorade Fruit Punch,NAB-019,Non-Alcoholic Beverage,Energy/Sports,case of 24,29,20.34,589.86
INV-2025-01,Whole Milk,NAB-020,Non-Alcoholic Beverage,Milk/Dairy Bev,half gallon,23,2.85,65.55
INV-2025-01,Oat Milk,NAB-021,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,28,5.94,166.32
INV-2025-01,"Almond Milk, Unsweetened",NAB-022,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,9,3.96,35.64
INV-2025-01,Root Beer Syrup BIB,NAB-023,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,19,60.82,1155.58
INV-2025-01,Club Soda Canister,NAB-024,Non-Alcoholic Beverage,Soda,5 gal canister,10,17.05,170.5
INV-2025-01,Grapefruit Juice,NAB-025,Non-Alcoholic Beverage,Juice,46 oz can,11,5.58,61.38
INV-2025-01,Tomato Juice,NAB-026,Non-Alcoholic Beverage,Juice,46 oz can,34,4.74,161.16
INV-2025-01,Sparkling Lemon Water 12oz,NAB-027,Non-Alcoholic Beverage,Bottled Water,case of 24,28,15.71,439.88
