PO Number,Line Number,Product Primary Key,Item Name,Category,Subcategory,Unit of Measure,Quantity Ordered,Unit Price,Extended Price,Discount Amount,Net Purchase Amount
PO-00001,1,NAB-021,Oat Milk,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,4,5.59,22.36,0.0,22.36
PO-00001,2,LIQ-028,Alfredo Sauce,Liquids/Pastes/Sauces,Sauce,4 lb tub,9,17.98,161.82,0.0,161.82
PO-00001,3,PRD-008,Avocados,Produce & Meat,Produce,case of 48,9,67.34,606.06,0.0,606.06
PO-00001,4,FRZ-019,"Butter, Unsalted",Frozen/Refrigerated Goods,Dairy,36 lb case,5,109.83,549.15,0.0,549.15
PO-00001,5,NAB-017,Herbal Chamomile Tea Bags,Non-Alcoholic Beverage,Tea,box of 100,3,15.82,47.46,0.0,47.46
PO-00001,6,LIQ-005,White Vinegar,Liquids/Pastes/Sauces,Vinegar,1 gal jug,3,7.19,21.57,0.0,21.57
PO-00001,7,FRZ-003,Frozen Broccoli Florets,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,2,30.45,60.9,1.57,59.33
PO-00001,8,NAB-013,"Drip Coffee, Medium Roast",Non-Alcoholic Beverage,Coffee,2 lb bag,10,17.34,173.4,0.0,173.4
PO-00002,1,SUP-011,"Degreaser, Kitchen",Supplies,Cleaning,1 gal jug,2,21.13,42.26,1.42,40.84
PO-00002,2,FRZ-021,Sour Cream,Frozen/Refrigerated Goods,Dairy,5 lb tub,2,15.0,30.0,0.0,30.0
PO-00002,3,LIQ-008,Soy Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,7,13.16,92.12,0.0,92.12
PO-00003,1,FRZ-015,Shredded Mozzarella,Frozen/Refrigerated Goods,Dairy,5 lb bag,1,19.09,19.09,0.0,19.09
PO-00003,2,DRY-007,"Spaghetti, Dry",Dry Goods & Spices,Pasta,20 lb case,6,19.86,119.16,0.0,119.16
PO-00003,3,LIQ-020,"Curry Paste, Red",Liquids/Pastes/Sauces,Paste,14 oz can,10,5.99,59.9,0.0,59.9
PO-00003,4,LIQ-015,Caesar Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,8,18.82,150.56,0.0,150.56
PO-00003,5,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,8,12.72,101.76,2.89,98.87
PO-00003,6,PRD-028,Ground Pork,Produce & Meat,Meat,case,9,3.96,35.64,0.0,35.64
PO-00003,7,PRD-020,"Ginger, Fresh",Produce & Meat,Produce,10 lb case,10,30.39,303.9,0.0,303.9
PO-00003,8,SUP-026,Hand Soap,Supplies,Chemical,1 gal jug,3,15.78,47.34,0.0,47.34
PO-00004,1,PRD-030,"Shrimp, Fresh 16/20",Produce & Meat,Seafood,case,7,11.31,79.17,0.0,79.17
PO-00004,2,PRD-013,Celery,Produce & Meat,Produce,case of 30,5,29.85,149.25,0.0,149.25
PO-00004,3,DRY-023,"Cinnamon, Ground",Dry Goods & Spices,Spice,1 lb bag,1,9.64,9.64,0.0,9.64
PO-00004,4,PRD-010,Lemons,Produce & Meat,Produce,case of 165,9,37.64,338.76,0.0,338.76
PO-00005,1,DRY-021,Cayenne Pepper,Dry Goods & Spices,Spice,1 lb bag,2,9.49,18.98,0.0,18.98
PO-00005,2,LIQ-021,Crushed Tomatoes,Liquids/Pastes/Sauces,Canned Tomato,#10 can,9,10.4,93.6,0.0,93.6
PO-00005,3,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,3,15.05,45.15,0.0,45.15
PO-00006,1,LIQ-026,"Vegetable Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,9,17.29,155.61,0.0,155.61
PO-00006,2,FRZ-027,"Spring Rolls, Vegetable",Frozen/Refrigerated Goods,Frozen Appetizer,case of 100,8,59.38,475.04,0.0,475.04
PO-00006,3,NAB-026,Tomato Juice,Non-Alcoholic Beverage,Juice,46 oz can,9,4.48,40.32,0.0,40.32
PO-00006,4,ALC-015,"Tequila, Blanco Premium",Alcoholic Beverage,Spirits,1L bottle,4,34.32,137.28,0.0,137.28
PO-00006,5,SUP-028,Chafing Fuel Cans,Supplies,Small Wares,case of 24,4,40.71,162.84,0.0,162.84
PO-00007,1,DRY-010,"Pinto Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,1,21.04,21.04,0.0,21.04
PO-00007,2,PRD-006,"Bell Peppers, Green",Produce & Meat,Produce,25 lb case,4,37.65,150.6,0.0,150.6
PO-00007,3,SUP-030,"Menu Paper, Cardstock",Supplies,Menu/Marketing,ream of 500,9,20.12,181.08,13.79,167.29
PO-00007,4,NAB-007,Orange Juice Concentrate,Non-Alcoholic Beverage,Juice,gallon,8,11.8,94.4,0.0,94.4
PO-00007,5,NAB-027,Sparkling Lemon Water 12oz,Non-Alcoholic Beverage,Bottled Water,case of 24,7,16.57,115.99,0.0,115.99
PO-00007,6,NAB-024,Club Soda Canister,Non-Alcoholic Beverage,Soda,5 gal canister,7,15.48,108.36,0.0,108.36
PO-00007,7,SUP-011,"Degreaser, Kitchen",Supplies,Cleaning,1 gal jug,1,20.78,20.78,0.0,20.78
PO-00008,1,DRY-022,"Oregano, Dried",Dry Goods & Spices,Spice,1 lb bag,8,12.83,102.64,0.0,102.64
PO-00008,2,SUP-008,"Plastic Cutlery, Spoons",Supplies,Disposable,box of 1000,8,17.97,143.76,0.0,143.76
PO-00008,3,ALC-015,"Tequila, Blanco Premium",Alcoholic Beverage,Spirits,1L bottle,2,35.82,71.64,5.73,65.91
PO-00008,4,SUP-005,"Napkins, Dinner",Supplies,Disposable,case of 3000,2,33.64,67.28,0.0,67.28
PO-00009,1,ALC-017,"Bourbon, Well",Alcoholic Beverage,Spirits,1.75L bottle,5,31.45,157.25,0.0,157.25
PO-00009,2,DRY-020,Onion Powder,Dry Goods & Spices,Spice,1 lb bag,5,9.58,47.9,0.0,47.9
PO-00009,3,NAB-007,Orange Juice Concentrate,Non-Alcoholic Beverage,Juice,gallon,9,12.26,110.34,0.0,110.34
PO-00010,1,NAB-015,Black Tea Bags,Non-Alcoholic Beverage,Tea,box of 100,9,14.63,131.67,4.1,127.57
PO-00010,2,SUP-012,Sanitizer Solution,Supplies,Cleaning,1 gal jug,4,18.19,72.76,0.0,72.76
PO-00010,3,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,10,22.47,224.7,0.0,224.7
PO-00010,4,LIQ-021,Crushed Tomatoes,Liquids/Pastes/Sauces,Canned Tomato,#10 can,10,10.71,107.1,6.37,100.73
PO-00010,5,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,6,15.69,94.14,0.0,94.14
PO-00011,1,PRD-002,Iceberg Lettuce,Produce & Meat,Produce,case of 24 heads,2,26.82,53.64,3.07,50.57
PO-00011,2,LIQ-020,"Curry Paste, Red",Liquids/Pastes/Sauces,Paste,14 oz can,2,6.3,12.6,0.41,12.19
PO-00011,3,ALC-014,"Gin, Well",Alcoholic Beverage,Spirits,1.75L bottle,6,20.89,125.34,0.0,125.34
PO-00011,4,DRY-025,Baking Soda,Dry Goods & Spices,Baking,12 lb box,6,10.8,64.8,0.0,64.8
PO-00012,1,ALC-023,Triple Sec,Alcoholic Beverage,Liqueur,1L bottle,9,16.2,145.8,0.0,145.8
PO-00012,2,FRZ-029,Frozen Diced Onions,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,4,25.84,103.36,0.0,103.36
PO-00012,3,ALC-020,"Rum, Spiced",Alcoholic Beverage,Spirits,1L bottle,5,20.08,100.4,0.0,100.4
PO-00013,1,NAB-003,Sprite Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,5,66.0,330.0,0.0,330.0
